# New Quality Chord Forms - Generated from Quality Master.csv
# Format: Chord,Symbol,Quality,FormOrder,FormID,ShapeName,Fret1,Fret2,Fret3,Fret4,Fret5,Fret6,Finger1,Finger2,Finger3,Finger4,Finger5,Finger6,BarreFret,BarreFrom,BarreTo,Tips

# M9 (maj9) - Pro: ✨ キラキラ・浮遊感
CM9,CM9,M9,2,CM9-1-Root5,Root-5,x,3,2,4,3,x,-,1,2,4,3,-,,,,"ポップス、R&Bの王道おしゃれサウンド。 | The quintessential stylish sound for Pop and R&B."
C#M9,C#M9,M9,2,C#M9-1-Root5,Root-5,x,4,3,5,4,x,-,1,2,4,3,-,,,,"ポップス、R&Bの王道おしゃれサウンド。 | The quintessential stylish sound for Pop and R&B."
DM9,DM9,M9,2,DM9-1-Root5,Root-5,x,5,4,6,5,x,-,1,2,4,3,-,,,,"ポップス、R&Bの王道おしゃれサウンド。 | The quintessential stylish sound for Pop and R&B."
EbM9,EbM9,M9,2,EbM9-1-Root5,Root-5,x,6,5,7,6,x,-,1,2,4,3,-,,,,"ポップス、R&Bの王道おしゃれサウンド。 | The quintessential stylish sound for Pop and R&B."
EM9,EM9,M9,2,EM9-1-Root5,Root-5,x,7,6,8,7,x,-,1,2,4,3,-,,,,"ポップス、R&Bの王道おしゃれサウンド。 | The quintessential stylish sound for Pop and R&B."
FM9,FM9,M9,2,FM9-1-Root5,Root-5,x,8,7,9,8,x,-,1,2,4,3,-,,,,"ポップス、R&Bの王道おしゃれサウンド。 | The quintessential stylish sound for Pop and R&B."
F#M9,F#M9,M9,2,F#M9-1-Root5,Root-5,x,9,8,10,9,x,-,1,2,4,3,-,,,,"ポップス、R&Bの王道おしゃれサウンド。 | The quintessential stylish sound for Pop and R&B."
GM9,GM9,M9,2,GM9-1-Root5,Root-5,x,10,9,11,10,x,-,1,2,4,3,-,,,,"ポップス、R&Bの王道おしゃれサウンド。 | The quintessential stylish sound for Pop and R&B."
AbM9,AbM9,M9,2,AbM9-1-Root5,Root-5,x,11,10,12,11,x,-,1,2,4,3,-,,,,"ポップス、R&Bの王道おしゃれサウンド。 | The quintessential stylish sound for Pop and R&B."
AM9,AM9,M9,2,AM9-1-Root5,Root-5,x,12,11,13,12,x,-,1,2,4,3,-,,,,"ポップス、R&Bの王道おしゃれサウンド。 | The quintessential stylish sound for Pop and R&B."
BbM9,BbM9,M9,2,BbM9-1-Root5,Root-5,x,1,0,2,1,x,-,1,2,4,3,-,,,,"ポップス、R&Bの王道おしゃれサウンド。 | The quintessential stylish sound for Pop and R&B."
BM9,BM9,M9,2,BM9-1-Root5,Root-5,x,2,1,3,2,x,-,1,2,4,3,-,,,,"ポップス、R&Bの王道おしゃれサウンド。 | The quintessential stylish sound for Pop and R&B."

# 6/9 - Pro: ✨ キラキラ・浮遊感
C6/9,C6/9,6/9,2,C6/9-1-Root5,Root-5,x,3,2,2,3,x,-,1,2,3,4,-,,,,"ジャズやフュージョンで多用される、明るく豊かな響き。 | A bright and rich sound frequently used in Jazz and Fusion."
C#6/9,C#6/9,6/9,2,C#6/9-1-Root5,Root-5,x,4,3,3,4,x,-,1,2,3,4,-,,,,"ジャズやフュージョンで多用される、明るく豊かな響き。 | A bright and rich sound frequently used in Jazz and Fusion."
